,times__trf
35412,401.32555055618286
35413,401.3368663787842
35414,401.34784388542175
35415,401.3589015007019
35416,401.3703474998474
35417,401.3811388015747
35418,401.39231061935425
35419,401.403000831604
35420,401.4146375656128
35421,401.42515563964844
35422,401.43642234802246
35423,401.44782400131226
35424,401.4593155384064
35425,401.4706766605377
35426,401.4820363521576
35427,401.49330401420593
35428,401.50429034233093
35429,401.51463079452515
35430,401.5254051685333
35431,401.5368688106537
35432,401.5487825870514
35433,401.55914640426636
35434,401.5710504055023
35435,401.5829620361328
35436,401.5930600166321
35437,401.6042604446411
35438,401.61496114730835
35439,401.6263644695282
35440,401.63805294036865
35441,401.648649930954
35442,401.65961360931396
35443,401.6714539527893
35444,401.6826298236847
35445,401.69381642341614
35446,401.7045040130615
35447,401.7154986858368
35448,401.72698855400085
35449,401.7374019622803
35450,401.75001859664917
35451,401.760897397995
35452,401.77139806747437
35453,401.7816708087921
35454,401.79254388809204
35455,401.8047890663147
35456,401.81508684158325
35457,401.826447725296
35458,401.83853816986084
35459,401.8501410484314
35460,401.8611640930176
35461,401.8735954761505
35462,401.88447403907776
35463,401.8954293727875
35464,401.9067087173462
35465,401.91740345954895
35466,401.92822003364563
35467,401.9387671947479
35468,401.9500381946564
35469,401.9611876010895
35470,401.9728901386261
35471,401.985773563385
35472,401.9965240955353
35473,402.0078899860382
35474,402.01893305778503
35475,402.02934670448303
35476,402.0395803451538
35477,402.0510015487671
35478,402.06154775619507
35479,402.0724985599518
35480,402.08285307884216
35481,402.09457182884216
35482,402.1053946018219
35483,402.1159813404083
35484,402.12694549560547
35485,402.13853645324707
35486,402.1487846374512
35487,402.15913438796997
35488,402.1701645851135
35489,402.181672334671
35490,402.1927320957184
35491,402.2036533355713
35492,402.21547770500183
35493,402.22626781463623
35494,402.23781180381775
35495,402.2487621307373
35496,402.2592113018036
35497,402.2695095539093
35498,402.28021907806396
35499,402.2912335395813
35500,402.30174136161804
35501,402.313827753067
35502,402.3256585597992
35503,402.33646845817566
35504,402.3467037677765
35505,402.3580083847046
35506,402.36968207359314
35507,402.38202142715454
35508,402.3925590515137
35509,402.4035665988922
35510,402.41482377052307
35511,402.4260981082916
35512,402.4368062019348
35513,402.4481990337372
35514,402.460812330246
35515,402.47295093536377
35516,402.484379529953
35517,402.4949691295624
35518,402.5063421726227
35519,402.5177974700928
35520,402.528769493103
35521,402.54031014442444
35522,402.5535624027252
35523,402.56505513191223
35524,402.5765199661255
35525,402.58791279792786
35526,402.5996208190918
35527,402.6104507446289
35528,402.6220152378082
35529,402.63265657424927
35530,402.64392614364624
35531,402.6549162864685
35532,402.66612458229065
35533,402.67838168144226
35534,402.68958830833435
35535,402.7014021873474
35536,402.7127003669739
35537,402.72414541244507
35538,402.73566365242004
35539,402.7465159893036
35540,402.75845170021057
35541,402.7691991329193
35542,402.7808413505554
35543,402.7911469936371
35544,402.8035819530487
35545,402.81486797332764
35546,402.82573986053467
35547,402.83787751197815
35548,402.84888195991516
35549,402.86035537719727
35550,402.8721034526825
35551,402.88359808921814
35552,402.89545154571533
35553,402.9065296649933
35554,402.9207601547241
35555,402.9323573112488
35556,402.9462604522705
35557,402.9585270881653
35558,402.969265460968
35559,402.9806876182556
35560,402.9922616481781
35561,403.00304436683655
35562,403.0150282382965
35563,403.02624225616455
35564,403.0370898246765
35565,403.04908752441406
35566,403.0603048801422
35567,403.07168412208557
35568,403.0829017162323
35569,403.0940923690796
35570,403.1056215763092
