,times__sm
23012,126.0380699634552
23013,126.0453622341156
23014,126.05062985420227
23015,126.05592155456543
23016,126.06018805503845
23017,126.06379222869873
23018,126.06872534751892
23019,126.0760748386383
23020,126.08570313453674
23021,126.09127855300903
23022,126.09642004966736
23023,126.10284972190857
23024,126.10826277732849
23025,126.1139624118805
23026,126.11877202987671
23027,126.12533378601074
23028,126.12982678413391
23029,126.13542008399963
23030,126.14494442939758
23031,126.15033292770386
23032,126.15503406524658
23033,126.1598949432373
23034,126.16391944885254
23035,126.1682481765747
23036,126.17268013954163
23037,126.17891025543213
23038,126.18510913848877
23039,126.19091057777405
23040,126.19511818885803
23041,126.20014357566833
23042,126.20604848861694
23043,126.21252822875977
23044,126.21837544441223
23045,126.22259187698364
23046,126.22713232040405
23047,126.23288798332214
23048,126.23894333839417
23049,126.24569702148438
23050,126.24896216392517
23051,126.2532217502594
23052,126.25835752487183
23053,126.26256394386292
23054,126.26654314994812
23055,126.27254581451416
23056,126.27733087539673
23057,126.28147411346436
23058,126.2844820022583
23059,126.29134154319763
23060,126.29584264755249
23061,126.30278587341309
23062,126.30916047096252
23063,126.31405067443848
23064,126.3181664943695
23065,126.32167196273804
23066,126.32529902458191
23067,126.33036756515503
23068,126.33706784248352
23069,126.34383130073547
23070,126.35052013397217
23071,126.35613489151001
23072,126.36038780212402
23073,126.36605072021484
23074,126.37090706825256
23075,126.37653946876526
23076,126.38165616989136
23077,126.38679122924805
23078,126.39197707176208
23079,126.39802360534668
23080,126.40359020233154
23081,126.40922021865845
23082,126.41557812690735
23083,126.42088770866394
23084,126.42670822143555
23085,126.43151450157166
23086,126.43622517585754
23087,126.44103050231934
23088,126.44542956352234
23089,126.45247054100037
23090,126.45762777328491
23091,126.46283388137817
23092,126.46722388267517
23093,126.47505450248718
23094,126.48045206069946
23095,126.48530864715576
23096,126.48961424827576
23097,126.49392604827881
23098,126.4991991519928
23099,126.50340223312378
23100,126.5090959072113
23101,126.51405477523804
23102,126.51919651031494
23103,126.52569222450256
23104,126.53089308738708
23105,126.53485250473022
23106,126.54175543785095
23107,126.54599213600159
23108,126.55024027824402
23109,126.55559206008911
23110,126.56126761436462
23111,126.5663800239563
23112,126.57036352157593
23113,126.57534432411194
23114,126.58051180839539
23115,126.58564138412476
23116,126.58926153182983
23117,126.59388089179993
23118,126.60271692276001
23119,126.60902762413025
23120,126.61478114128113
23121,126.62077760696411
23122,126.62892317771912
23123,126.63405656814575
23124,126.6411292552948
23125,126.64761877059937
23126,126.6523323059082
23127,126.65694904327393
23128,126.66196370124817
23129,126.66613912582397
23130,126.67031121253967
23131,126.67732071876526
23132,126.68239665031433
23133,126.68761801719666
23134,126.69323182106018
23135,126.69825077056885
23136,126.7039201259613
23137,126.70959281921387
23138,126.71381568908691
23139,126.71853065490723
23140,126.72253727912903
23141,126.72788000106812
23142,126.7326169013977
23143,126.73733711242676
23144,126.7416250705719
23145,126.74736666679382
23146,126.75669145584106
23147,126.76248550415039
23148,126.76916694641113
23149,126.77334523200989
23150,126.77777981758118
23151,126.78321266174316
23152,126.79041934013367
23153,126.79525423049927
23154,126.8003580570221
23155,126.80511569976807
23156,126.81142330169678
23157,126.81556725502014
23158,126.82132983207703
23159,126.82694244384766
23160,126.83109593391418
23161,126.83584523200989
23162,126.84071207046509
23163,126.84457445144653
23164,126.85054564476013
23165,126.85521960258484
23166,126.86219954490662
23167,126.86576581001282
23168,126.87075448036194
23169,126.8770866394043
23170,126.88368606567383
23171,126.8877260684967
23172,126.89190196990967
23173,126.8977062702179
23174,126.90512681007385
23175,126.9112057685852
23176,126.91844773292542
23177,126.92293620109558
23178,126.92652535438538
23179,126.93300867080688
23180,126.936514377594
23181,126.9412190914154
23182,126.9455931186676
23183,126.9536612033844
23184,126.9596836566925
23185,126.96571087837219
23186,126.9699559211731
23187,126.97889280319214
23188,126.98473119735718
23189,126.98950028419495
23190,126.9951696395874
23191,127.00109529495239
23192,127.00727343559265
23193,127.01429152488708
23194,127.01974725723267
23195,127.02517008781433
23196,127.02965378761292
23197,127.03552460670471
23198,127.04200649261475
23199,127.04662203788757
23200,127.04997372627258
23201,127.05639457702637
23202,127.06122636795044
23203,127.06484699249268
23204,127.06907176971436
23205,127.07517147064209
23206,127.08029294013977
23207,127.08552598953247
23208,127.09101247787476
23209,127.09644603729248
23210,127.10121512413025
23211,127.10620594024658
23212,127.1108832359314
23213,127.1151614189148
23214,127.12041234970093
23215,127.12624740600586
23216,127.13217568397522
23217,127.13631772994995
23218,127.1418354511261
23219,127.14624762535095
23220,127.1520779132843
23221,127.15951442718506
23222,127.16396474838257
23223,127.16986513137817
23224,127.17716813087463
23225,127.18159413337708
23226,127.1863374710083
23227,127.19275283813477
23228,127.19994854927063
23229,127.20385479927063
23230,127.2124536037445
